business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Services,9,6839028,87443,2288154,358,0,0.41,4345701,Average,0
Services,1,7983647,311568,53285,480,1,0.18,3810301,Poor,1
Manufacturing,2,4015929,370988,2532933,318,2,0.74,514507,Average,1
Trading,16,2258691,324128,2707303,525,1,0.83,4967863,Average,1
Trading,1,4691401,61505,1246352,772,3,0.71,2544398,Poor,1
Manufacturing,10,3228100,122478,1754491,394,2,0.76,1143771,Good,1
Manufacturing,18,3009236,82699,1431688,596,1,0.27,389288,Poor,1
Services,8,6879669,440173,1152491,474,0,0.31,799428,Average,0
Trading,21,2253341,438680,2518839,521,3,0.27,3118020,Poor,1
Manufacturing,11,1273737,396156,715979,353,4,0.71,838917,Poor,1
Services,23,1433387,174721,1302038,702,4,0.86,47830,Average,0
Trading,2,5733001,455281,834278,617,0,0.67,844004,Poor,1
Retail,8,4202908,316902,1993508,648,3,0.81,2814073,Poor,1
Services,22,6971628,156668,557553,742,3,0.61,1715027,Average,0
Trading,8,6362133,298518,1026778,839,3,0.41,3457134,Good,0
Trading,17,6512111,138686,2520562,581,3,0.44,1709959,Average,0
Services,15,4948455,285919,2960323,659,4,0.16,3166271,Average,0
Retail,17,2938439,309532,2588076,307,1,0.13,3598973,Poor,1
Services,23,5998618,405944,1305802,790,3,0.66,4034331,Average,0
Trading,24,7940888,303173,1331745,640,1,0.45,959841,Poor,0
Manufacturing,13,5738503,103981,581661,771,3,0.54,1189611,Poor,0
Manufacturing,19,995532,335783,1952871,548,2,0.55,669156,Poor,1
Services,5,595866,134010,672215,534,2,0.32,72613,Average,1
Trading,12,1097057,427861,1861049,382,2,0.48,4813976,Average,1
Manufacturing,1,4692541,51105,396229,392,3,0.48,3748078,Poor,1
Trading,23,6536893,426884,1216572,693,1,0.41,1313981,Good,0
Services,5,7122603,279021,613508,567,4,0.76,799829,Good,1
Manufacturing,8,7550569,167032,2539799,716,0,0.46,1502228,Average,0
Trading,13,5455115,146519,1614547,828,4,0.58,877237,Poor,0
Manufacturing,8,7226730,162429,581930,552,3,0.82,1019198,Poor,1
Services,23,2105518,477820,129971,421,2,0.79,4482205,Average,1
Trading,11,5826863,384883,1678420,309,2,0.81,4864963,Good,1
Manufacturing,1,3735088,333940,1525552,615,1,0.32,4449760,Average,0
Services,13,3236537,297948,1923200,572,3,0.13,770376,Average,0
Manufacturing,19,3923425,147732,1616049,605,4,0.31,1615263,Poor,0
Manufacturing,24,3899537,165698,447597,509,3,0.32,629275,Average,0
Retail,3,2446674,179204,2899095,763,3,0.83,4899626,Good,1
Retail,24,6821689,290095,1511350,715,2,0.62,3496544,Average,0
Services,17,6989558,419665,1391502,515,4,0.17,822317,Poor,1
Retail,5,5916273,301209,1365502,379,0,0.21,2118309,Good,0
Services,20,6598941,383647,2893929,779,2,0.22,4635892,Poor,0
Retail,21,5967551,125072,235784,846,4,0.6,2116826,Average,0
Manufacturing,8,6310224,160202,1335412,317,1,0.69,274722,Average,1
Services,14,2282847,109360,2635313,464,2,0.79,1968331,Average,1
Services,4,2509853,82287,1249110,824,1,0.85,4634391,Poor,1
Manufacturing,11,4391685,258009,896462,501,2,0.26,2804716,Average,0
Services,20,507352,202774,773879,645,3,0.35,3039247,Good,0
Services,15,1975502,188065,2244621,665,4,0.29,716300,Good,0
Retail,19,484514,182947,1669814,747,1,0.39,3631459,Poor,1
Services,7,7036549,266356,1494315,812,2,0.83,1676093,Poor,1
Trading,19,1098658,157126,1552718,618,1,0.56,143274,Poor,1
Manufacturing,19,7209149,250881,1239325,516,2,0.69,2591318,Average,1
Retail,11,2157596,127357,2878340,333,2,0.49,2483277,Good,1
Retail,5,1558624,461733,1244737,565,0,0.12,519071,Good,0
Trading,5,6229949,227440,2552275,379,0,0.15,222274,Good,0
Manufacturing,22,7596991,49670,448825,712,0,0.53,3296090,Poor,0
Manufacturing,8,6628475,331256,1805089,551,1,0.68,4081362,Poor,1
Retail,10,1262452,370532,1935547,311,3,0.27,255672,Average,1
Services,6,5804377,371300,2584511,700,2,0.68,3785152,Poor,1
Retail,15,5083725,179379,1121512,581,4,0.75,150468,Good,1
Manufacturing,16,2070394,264159,1935190,411,0,0.43,454064,Average,0
Trading,17,6971203,218159,551477,677,1,0.7,4933152,Poor,1
Retail,8,6750054,330066,947691,567,1,0.42,2157682,Poor,1
Manufacturing,8,4436725,214152,280596,597,1,0.64,1691043,Good,1
Retail,9,3050025,375492,1717906,616,4,0.71,27122,Average,0
Services,2,6312340,99335,849595,808,4,0.89,678627,Poor,1
Retail,15,2389934,308456,2929198,845,0,0.38,3783287,Poor,1
Retail,18,6035630,86985,1766473,664,4,0.43,4708192,Average,0
Manufacturing,3,3226979,150744,1645283,846,0,0.23,662448,Average,0
Manufacturing,17,2814399,271713,2877503,570,4,0.26,1438448,Poor,1
Manufacturing,4,4963062,470824,2792651,773,4,0.65,3134112,Poor,1
Retail,4,4095830,383107,1483482,836,4,0.83,3851304,Good,0
Services,14,1255205,191349,2352823,533,0,0.42,3051245,Average,1
Trading,9,6966199,51551,2672274,358,2,0.24,3866350,Poor,1
Trading,9,2423091,109813,344358,550,0,0.33,132508,Poor,1
Manufacturing,23,1266649,469813,1846870,385,2,0.46,3519073,Poor,1
Manufacturing,18,7529284,383169,2923798,689,1,0.33,350161,Poor,0
Retail,10,7793971,406486,576701,479,1,0.29,1406725,Good,0
Trading,21,5280939,196284,1632369,448,0,0.69,84403,Average,1
Manufacturing,4,1234048,29637,826041,420,2,0.11,1416743,Poor,1
Services,12,3330555,325402,1231753,555,2,0.53,414429,Average,0
Services,8,2164071,448909,1297752,608,2,0.74,3299337,Average,0
Manufacturing,2,5022340,423040,440447,358,1,0.31,4590314,Poor,1
Manufacturing,22,7876126,149553,550850,368,0,0.58,1500996,Poor,1
Trading,13,1727989,46950,1213473,745,3,0.64,3910920,Poor,1
Trading,21,2332709,436704,1156984,687,2,0.62,1105340,Good,0
Retail,16,5361500,147870,166908,385,2,0.46,1091426,Poor,1
Trading,2,1500532,20215,2393145,526,3,0.38,3797187,Average,1
Services,11,7796287,387747,1702595,483,0,0.77,4537568,Average,1
Services,10,5493378,293667,2652573,621,2,0.71,2893434,Good,0
Manufacturing,15,764462,489116,901563,617,0,0.36,2843749,Poor,1
Trading,17,3291620,350833,900712,698,2,0.18,4563207,Poor,0
Retail,8,5168923,43834,1216374,592,4,0.16,502704,Good,0
Services,18,3300109,316618,691142,592,2,0.18,4895639,Good,0
Services,23,3872401,63066,287902,784,4,0.57,3342310,Poor,0
Retail,9,2744975,292544,2467999,746,0,0.14,3826920,Poor,0
Retail,8,3571557,407355,2621802,711,2,0.37,3373546,Average,0
Services,14,5671096,30345,2210231,807,1,0.7,2709266,Poor,1
Services,18,6462487,53896,1644441,543,1,0.34,2850442,Poor,1
Retail,22,6310554,498646,360258,719,3,0.71,663778,Average,0
Services,20,2572759,311043,532450,453,1,0.7,1696016,Average,1
Manufacturing,20,4903623,310373,1948238,723,4,0.3,4725673,Average,0
Manufacturing,21,2749308,287727,2663531,572,1,0.68,4559164,Average,1
Retail,12,4048294,418113,1786916,819,1,0.7,4859778,Good,0
Trading,19,574535,91537,1165770,427,1,0.42,773205,Average,1
Retail,14,3548204,260489,1569598,672,2,0.27,2446804,Good,0
Retail,17,5440709,417783,2259485,458,3,0.52,3143526,Average,0
Trading,24,2780017,94807,2709232,475,0,0.84,399104,Average,1
Trading,21,5116129,149648,95807,510,3,0.61,2035334,Average,1
Trading,3,4431146,394796,1616089,746,4,0.24,1430954,Poor,0
Manufacturing,23,1217472,490455,1485986,466,2,0.65,2967429,Good,1
Services,7,2578581,164401,710501,759,2,0.44,2022130,Average,0
Manufacturing,17,7858012,252117,1608274,656,1,0.57,2203899,Poor,0
Services,12,3949279,268780,678580,603,1,0.69,22036,Good,0
Manufacturing,9,2304517,353936,697272,532,4,0.51,2650786,Good,0
Services,15,5316239,413444,588065,626,2,0.75,4569955,Poor,1
Manufacturing,18,2362362,233286,2988287,481,0,0.68,2091271,Good,1
Trading,21,3932403,57052,359963,633,3,0.59,2385987,Poor,0
Retail,13,3521131,470985,1233493,328,2,0.22,3425858,Average,0
Manufacturing,21,2307338,66032,597578,392,0,0.77,1731782,Poor,1
Services,8,888574,315830,1473271,629,0,0.85,1884673,Good,1
Trading,14,2734138,359125,473915,483,3,0.21,3783424,Good,0
Manufacturing,8,404927,118802,2322476,394,0,0.49,4891065,Average,1
Manufacturing,14,2149916,476477,1983690,652,4,0.31,2595173,Poor,0
Trading,7,2882985,416025,1757229,564,0,0.7,1622918,Average,1
Manufacturing,23,6890828,254337,2790936,318,4,0.68,1218135,Poor,1
Retail,12,4517690,192857,1601726,798,0,0.21,402628,Poor,0
Manufacturing,11,5720706,449763,893521,438,1,0.8,1755409,Poor,1
Retail,22,3949886,324962,2652332,824,0,0.24,2163705,Average,0
Retail,22,5833326,382566,2556976,554,4,0.74,2367008,Average,1
Trading,11,5865839,354071,2538009,384,0,0.47,2375113,Good,0
Manufacturing,22,4746460,216753,247345,757,0,0.36,4903496,Average,0
Trading,13,7593708,361609,2950203,831,0,0.23,355760,Poor,0
Manufacturing,18,5344080,240934,1700870,391,4,0.23,2519494,Poor,1
Manufacturing,2,1253122,246599,2917911,368,0,0.63,4799259,Poor,1
Services,21,4343763,133221,1375499,336,3,0.54,3838550,Average,0
Manufacturing,15,4963754,319477,1542832,439,3,0.2,4908340,Good,0
Trading,20,4817562,146457,2656315,477,4,0.19,4896479,Average,0
Retail,18,6840180,298720,858062,436,1,0.16,2855467,Good,0
Manufacturing,15,2598354,139875,689724,489,3,0.7,2841423,Average,1
Services,19,7665557,321549,717538,641,2,0.67,635318,Poor,1
Trading,23,7719850,376144,463151,304,3,0.15,641673,Good,0
Manufacturing,24,414589,486995,2063338,556,2,0.55,4223334,Average,1
Trading,12,1493982,51601,728387,542,4,0.17,1092643,Poor,1
Services,13,919003,350090,2112624,714,1,0.82,2606113,Good,1
Services,22,493839,480572,501069,642,2,0.83,3019863,Good,1
Trading,11,7384532,334260,1997175,678,2,0.66,2910223,Poor,1
Manufacturing,5,6954754,124186,117359,445,3,0.84,4590312,Poor,1
Retail,1,806453,345038,2350612,622,2,0.75,1573284,Average,1
Services,24,3347589,185707,2092749,421,4,0.76,487976,Average,1
Manufacturing,3,6848894,289609,1375831,551,4,0.56,19198,Poor,1
Manufacturing,22,3227053,76754,834681,610,4,0.34,4895869,Average,0
Retail,19,2824055,249047,336305,774,3,0.27,1131527,Poor,0
Services,23,3290193,112850,955352,791,1,0.36,3907031,Poor,0
Services,7,4940176,391909,941255,646,3,0.6,70511,Average,0
Manufacturing,12,2807743,236191,2010022,786,4,0.24,3429203,Average,0
Manufacturing,15,1855811,374835,2476609,772,3,0.31,2376189,Good,0
Retail,5,7967382,58871,2328598,681,4,0.47,2293137,Good,0
Retail,15,5377198,213946,467230,579,0,0.29,18243,Average,0
Services,8,1956042,490949,1703172,371,0,0.57,3685551,Average,0
Trading,10,6484377,311655,1931397,820,2,0.84,3602147,Average,0
Services,16,4145474,363104,461377,665,1,0.7,2036677,Good,0
Manufacturing,8,4224482,462037,1730664,393,0,0.63,4052455,Average,1
Services,1,7030959,347920,2528843,672,4,0.57,886801,Good,0
Trading,12,3532452,269200,812557,638,3,0.49,1264534,Good,0
Retail,5,5247796,221239,1123078,736,3,0.25,3421218,Good,0
Trading,3,4590697,488351,85757,635,2,0.82,703365,Good,0
Trading,1,4046328,326606,2769713,791,3,0.3,4420377,Poor,0
Trading,4,4461603,474598,632933,339,0,0.17,646868,Average,0
Retail,8,2210332,254453,371199,658,3,0.7,4531772,Average,0
Trading,3,7186940,52574,1218391,553,0,0.24,687703,Poor,1
Trading,10,4040030,122072,976502,697,0,0.4,4437774,Average,0
Trading,2,2798578,455126,1461746,469,1,0.12,1413466,Good,0
Manufacturing,11,4112010,224603,2479488,810,2,0.21,3220511,Poor,0
Trading,10,1778081,176258,2328701,559,4,0.24,2536331,Good,1
Retail,21,1870889,173885,2315125,758,0,0.14,2008063,Poor,1
Trading,14,7673372,229884,796631,828,2,0.63,4885636,Good,0
Trading,7,2699146,236597,79092,640,4,0.77,508102,Average,0
Retail,2,3371640,360426,968746,356,3,0.4,4359509,Average,0
Trading,9,1845491,129779,707191,517,2,0.8,4415130,Average,1
Retail,16,5132303,38557,2460017,763,2,0.27,4478182,Poor,0
Trading,13,5233842,179132,2437807,546,2,0.36,3687416,Average,0
Retail,9,5553974,472082,2219934,672,3,0.22,4345378,Poor,0
Trading,20,2222967,354248,933435,716,3,0.6,4099724,Good,0
Trading,4,1250922,251977,1940576,330,2,0.44,4816345,Average,1
Manufacturing,22,6335053,497793,1989309,667,1,0.59,3370268,Good,0
Manufacturing,10,1984449,157152,257580,407,0,0.71,4565311,Average,1
Trading,22,765590,164926,819032,717,3,0.54,4880539,Good,0
Trading,12,6053371,404157,1722992,697,1,0.6,156118,Poor,0
Services,17,1733284,218767,597952,571,3,0.85,4188579,Average,1
Retail,14,1417374,178097,1873948,415,2,0.34,2514821,Poor,1
Services,14,3299610,204054,214244,555,1,0.39,2626186,Poor,1
Manufacturing,2,2598756,61081,526857,380,4,0.67,4842357,Good,1
Manufacturing,21,6701586,417584,1162916,427,0,0.59,406433,Average,0
Manufacturing,20,7400052,250693,1710100,534,0,0.24,2422480,Poor,1
Manufacturing,11,3088107,401325,61017,480,3,0.4,4283202,Good,0
Trading,16,330257,309238,1921621,456,0,0.47,828267,Good,1
Manufacturing,19,4901731,459256,2701788,753,4,0.44,2892717,Good,0
Trading,23,7473877,348910,2418787,323,1,0.24,4358715,Average,0
Trading,6,7514192,365197,259720,772,1,0.84,2826844,Average,0
Manufacturing,24,1285257,175063,2268222,699,2,0.71,3584324,Good,1
Manufacturing,19,1401267,283445,1850493,433,1,0.49,1240521,Average,1
Retail,5,2355845,179682,2409664,720,3,0.64,2315124,Good,1
Services,4,6146936,101463,2182162,512,4,0.82,2224392,Average,1
Manufacturing,15,718829,185750,1745625,781,2,0.21,2360532,Average,0
Retail,4,2935466,306610,828928,647,3,0.3,2951500,Good,0
Retail,20,7340906,493656,2012160,465,3,0.53,891913,Good,0
Services,10,3738780,454091,1784872,647,3,0.74,2225509,Average,0
Trading,24,4415345,46081,1701722,697,0,0.13,1325258,Good,0
Manufacturing,22,5038202,44354,2738445,734,3,0.89,624109,Good,0
Services,3,7817750,113297,87493,520,0,0.46,1525245,Good,0
Manufacturing,5,1846933,300444,2872307,607,1,0.39,2829534,Good,0
Retail,6,625329,84384,2681732,765,0,0.33,353126,Average,0
Retail,21,3256151,377171,2830877,398,3,0.24,2541670,Poor,1
Trading,22,1527222,141684,2670390,541,4,0.73,3665056,Average,1
Retail,8,5535786,343036,1200311,457,4,0.86,2512071,Good,1
Retail,7,6061300,55525,1645776,526,1,0.43,830623,Good,0
Services,21,3667851,439748,2118535,722,3,0.86,4443830,Average,0
Manufacturing,10,1843812,26464,681581,371,0,0.76,316256,Good,1
Manufacturing,6,7414070,36562,1736519,542,4,0.48,2108551,Average,0
Services,14,6445448,389536,671747,829,2,0.64,4206989,Poor,1
Trading,4,7509530,75514,2545902,344,3,0.45,3944178,Good,0
Manufacturing,13,7135032,395572,2894517,771,3,0.55,2760262,Poor,0
Retail,20,1165256,132564,1331258,670,2,0.15,4122188,Poor,1
Manufacturing,17,6490261,390191,478886,391,4,0.66,443445,Good,1
Retail,23,300917,487435,279171,321,2,0.14,607508,Good,0
Trading,7,7604000,52634,217558,471,1,0.75,1108191,Average,1
Services,4,5345311,282204,1033061,491,0,0.76,1652810,Average,1
Manufacturing,14,7450406,291413,346412,376,0,0.29,646157,Good,0
Services,3,7368931,214215,2254490,580,4,0.36,4120522,Average,0
Manufacturing,24,7679136,43065,2621703,663,2,0.49,3947265,Poor,0
Retail,5,7264878,285039,2435632,478,3,0.58,4899179,Poor,1
Services,16,4773447,363003,2937225,537,3,0.33,3193070,Good,0
Manufacturing,23,562091,163424,1393679,434,3,0.57,2471312,Average,1
Retail,20,5997941,462953,2291530,579,1,0.34,2868045,Good,0
Services,4,703157,124127,2324406,318,1,0.14,1231832,Poor,1
Services,24,7176913,116426,2745563,670,3,0.1,3957127,Good,0
Manufacturing,24,7794574,445232,1548118,411,4,0.18,840720,Good,0
Manufacturing,2,7769776,212376,1850831,520,1,0.73,4971460,Good,1
Manufacturing,18,6439996,31962,1644362,603,1,0.87,124939,Good,0
Retail,19,6651277,53302,2118710,624,0,0.44,4483070,Poor,0
Manufacturing,19,7857773,367526,2174349,736,0,0.51,3715217,Good,0
Services,17,549265,24011,2823231,737,4,0.22,2041113,Good,0
Services,14,7029107,411860,1057705,469,1,0.54,1589214,Average,0
Manufacturing,19,7854159,39782,2255927,674,1,0.22,4020392,Good,0
Manufacturing,22,6865792,218763,896056,680,2,0.59,3307689,Average,0
Trading,24,1684822,140654,2975548,313,4,0.85,1811196,Good,1
Services,13,6795290,452941,2832540,799,4,0.26,136537,Average,0
Retail,12,2107402,29196,366790,690,2,0.71,2966002,Good,0
Trading,6,2249902,63459,1966195,848,2,0.12,97739,Average,0
Manufacturing,21,1435371,107245,95712,829,0,0.4,3725230,Good,0
Manufacturing,4,7805191,98863,2546641,791,4,0.19,2323597,Good,0
Services,19,628821,405350,383964,849,4,0.38,3170064,Average,0
Manufacturing,16,959987,270463,2272494,684,2,0.24,3708640,Good,0
Retail,13,543877,383154,1714092,495,3,0.4,4684852,Good,1
Services,4,3645026,52769,386497,599,3,0.43,482974,Good,0
Manufacturing,23,1847419,389673,537707,846,0,0.34,3250109,Good,0
Services,17,1220759,276433,142091,607,3,0.63,631884,Poor,1
Manufacturing,23,2061369,44700,1446634,551,3,0.84,812879,Good,1
Manufacturing,1,6727741,266864,1280478,307,3,0.42,4329409,Poor,1
Manufacturing,18,3548140,231428,943150,507,1,0.25,3070508,Poor,1
Retail,20,6086572,489643,2557495,430,0,0.32,3225442,Good,0
Retail,17,2513697,251237,2361712,325,2,0.78,3272620,Average,1
Services,15,1767172,287413,585827,753,3,0.56,4397458,Average,0
Manufacturing,11,7862160,403775,982196,485,1,0.46,2040012,Good,0
Manufacturing,22,7265989,326024,2099736,783,3,0.22,3035634,Poor,0
Retail,13,6251267,134003,1374054,350,1,0.46,2861379,Average,0
Manufacturing,1,2158997,159392,471743,304,0,0.32,143954,Good,0
Retail,17,5280249,69589,1613482,459,3,0.85,1004824,Good,1
Manufacturing,6,1718826,270606,1680872,507,1,0.81,4119717,Poor,1
Services,4,4780967,227348,1575068,556,4,0.17,986354,Average,0
Manufacturing,20,5275467,55897,1460038,504,4,0.51,846302,Good,0
Manufacturing,16,6351751,209637,469924,310,1,0.28,4868259,Average,0
Trading,15,1729290,182002,1764796,307,3,0.43,215363,Good,1
Retail,15,5488757,208305,2033518,708,3,0.8,2292262,Good,0
Manufacturing,6,6606451,233893,2214452,331,0,0.52,2022206,Good,0
Manufacturing,15,2420711,296524,441407,839,0,0.37,1290879,Poor,0
Trading,14,821244,227968,857274,686,2,0.27,1406854,Poor,1
Trading,11,6571271,90934,2185896,527,0,0.74,2525817,Poor,1
Retail,7,1699769,75830,428226,774,3,0.6,3911353,Average,0
Trading,9,2795389,287673,2466738,506,2,0.47,2509007,Poor,1
Services,16,7213744,272364,2014078,617,0,0.27,2062639,Poor,0
Trading,5,6219359,376742,2757430,647,1,0.37,729988,Average,0
Services,20,4939059,253294,2006678,533,4,0.87,1120494,Average,1
Retail,10,788051,102987,2516213,343,0,0.52,435926,Average,1
Retail,18,1125782,69178,2382127,441,0,0.42,4379427,Average,1
Retail,3,739439,158009,2675090,475,1,0.52,4386015,Poor,1
Retail,13,5568397,404096,2716557,748,3,0.72,2100311,Poor,1
Retail,11,3917597,59886,1976252,381,1,0.37,857624,Average,0
Services,17,4909770,69699,2124278,434,0,0.24,329132,Poor,1
Services,22,1564134,96396,2068852,476,3,0.57,796651,Good,1
Retail,13,7067567,110678,839622,682,2,0.63,3442408,Poor,1
Trading,6,7467020,45279,2195265,542,0,0.67,4667516,Good,1
Manufacturing,17,7075738,451322,189861,440,1,0.81,125312,Average,1
Retail,13,6002894,130776,1130701,756,2,0.4,4299198,Average,0
Trading,19,6059919,121444,1328343,739,4,0.16,3916162,Poor,0
Manufacturing,21,2194554,388444,2539296,355,2,0.87,2738558,Average,1
Retail,19,5015700,133793,740778,826,1,0.45,683284,Poor,0
Retail,10,5648566,398422,228157,718,2,0.6,3067805,Poor,0
Services,3,6155319,230809,1803897,387,1,0.63,1555722,Poor,1
Manufacturing,14,7905503,191616,2490395,307,0,0.54,3479317,Poor,1
Manufacturing,19,1247272,385391,2400959,776,3,0.26,4226158,Good,0
Trading,5,5214082,262262,661709,514,4,0.7,2157948,Good,1
Services,5,6030482,28997,1815018,796,3,0.74,4104066,Average,0
Services,20,3431603,126102,1891903,802,3,0.54,1852119,Good,0
Services,17,6241028,367855,1279959,544,3,0.49,3218303,Average,0
Services,21,4085961,398189,794854,777,1,0.19,2207532,Average,0
Manufacturing,10,7853488,60860,2218169,608,1,0.17,4480547,Poor,0
Manufacturing,5,6900430,285369,2692800,530,4,0.37,2559574,Poor,1
Retail,4,6643902,130114,2649546,682,1,0.35,774079,Poor,0
Retail,6,3419734,472686,1713229,454,1,0.86,1473603,Poor,1
Services,4,1011943,133218,1708332,474,1,0.73,2072934,Poor,1
Services,7,5970094,382908,307137,414,1,0.63,2444958,Poor,1
Services,7,7536190,127041,1399651,689,0,0.51,4671651,Good,0
Retail,18,2537300,394368,1154399,610,4,0.23,3539916,Average,0
Trading,3,4525389,345800,874464,599,1,0.88,393576,Average,1
Trading,1,5860595,465096,821279,317,4,0.4,2755144,Poor,1
Retail,24,2921158,212150,1117383,311,2,0.19,4099190,Good,0
Retail,4,3451478,96290,713431,703,0,0.5,80882,Poor,0
Retail,6,6443243,76633,627701,531,1,0.8,2699096,Good,1
Retail,9,2738064,308799,2828661,577,0,0.81,2520651,Good,1
Retail,22,6054640,141118,1638404,652,0,0.11,2760330,Average,0
Retail,14,4530207,194673,1855148,602,2,0.81,1512447,Average,0
Services,12,5746441,23114,1168824,840,4,0.32,3176307,Good,0
Services,20,2298173,308646,302515,769,0,0.13,1628042,Average,0
Services,24,6158204,69768,1209070,376,3,0.78,4831796,Good,1
Services,4,5106546,330272,2921083,820,2,0.79,1563455,Good,0
Retail,21,5006797,433244,659723,323,3,0.58,1704911,Good,0
Trading,24,3873258,468781,594075,314,2,0.56,4591838,Average,0
Manufacturing,12,1790017,103123,333126,824,3,0.75,907043,Poor,1
Retail,10,3402641,128255,2397920,646,3,0.73,2525449,Average,0
Manufacturing,22,1169446,186405,2694046,471,0,0.81,1238297,Poor,1
Trading,7,941593,23174,2026230,626,0,0.54,3785491,Average,0
Services,3,3951361,137769,822783,784,2,0.87,2607484,Average,0
Trading,23,1767130,317542,2259375,788,4,0.9,1548843,Poor,1
Retail,14,1834227,449145,1669800,761,0,0.19,2306894,Good,0
Services,24,2597905,155393,976097,677,0,0.78,3512840,Poor,1
Retail,10,4526405,405693,2033438,463,1,0.5,898118,Good,0
Services,16,4497079,247043,1049647,671,0,0.41,76377,Good,0
Manufacturing,16,6178665,262580,433609,723,4,0.59,353815,Average,0
Manufacturing,22,2887551,206493,1913082,776,1,0.14,4337803,Average,0
Manufacturing,10,6637075,92635,2560963,681,3,0.51,3579195,Average,0
Trading,13,4409070,305904,2715634,454,3,0.8,4820855,Average,1
Retail,6,3698116,424576,1803313,556,1,0.27,1466957,Average,0
Trading,12,2809907,161385,2436149,367,1,0.44,645647,Poor,1
Manufacturing,9,2106210,412818,2298885,643,1,0.85,1637791,Poor,1
Retail,13,4289284,262878,1622088,576,2,0.44,335314,Poor,1
Manufacturing,4,6656605,237070,2853005,690,4,0.39,2248543,Poor,0
Trading,24,326616,419017,2790164,748,4,0.45,3051382,Average,0
Trading,11,4442887,296274,1336353,558,3,0.52,1543955,Poor,1
Trading,20,5240359,427487,2314719,606,3,0.61,3612530,Poor,1
Manufacturing,18,1534215,429291,1112279,394,3,0.74,648423,Good,1
Retail,11,4138187,389359,1020584,763,0,0.46,120019,Average,0
Retail,21,4701207,170056,953923,545,3,0.75,3360377,Poor,1
Manufacturing,4,5774198,370239,1711342,486,1,0.53,3469794,Poor,1
Retail,18,6391111,343086,869593,672,3,0.37,3414057,Poor,0
Manufacturing,1,1338218,163933,2523592,705,1,0.63,2445644,Average,1
Retail,7,652365,118970,2385563,707,2,0.67,187461,Poor,1
Services,6,7492767,102203,1501508,424,0,0.55,4976494,Good,0
Services,15,2684775,484592,1074603,636,0,0.15,1328143,Average,0
Trading,18,4409404,212319,2966933,640,4,0.24,2454497,Good,0
Services,24,661309,220173,2718538,477,2,0.33,4185466,Average,1
Services,11,4550167,172049,2129368,469,1,0.33,3896998,Poor,1
Services,20,3618843,463833,1429641,338,2,0.64,4738168,Average,1
Manufacturing,24,2217577,470689,741898,368,0,0.11,4576089,Average,0
Services,15,2892806,237726,674860,535,1,0.7,1713616,Average,1
Services,16,1851899,370321,1066783,680,2,0.31,4875370,Good,0
Trading,7,1077635,92902,1367933,356,0,0.35,210926,Average,1
Services,21,1013340,112172,2322447,576,1,0.52,1425762,Poor,1
Services,10,7591916,166702,1976663,398,1,0.27,2538804,Average,0
Retail,12,578495,40056,835786,826,0,0.81,2245196,Average,1
Trading,24,3580931,158454,2477667,624,1,0.17,145120,Poor,0
Trading,14,6839364,75739,1166850,760,0,0.46,2468020,Poor,0
Trading,5,1131257,363829,2413430,478,3,0.78,237741,Good,1
Trading,21,2146357,68639,1976436,418,3,0.59,3490145,Poor,1
Trading,18,7832035,473054,613889,768,1,0.33,4674874,Poor,0
Trading,5,2179262,459257,1958897,848,1,0.44,885169,Poor,0
Manufacturing,3,6367537,283136,327834,754,0,0.67,4776194,Average,0
Services,23,3943327,92394,1362629,325,1,0.88,4221486,Good,1
Trading,5,1623173,349801,1440752,789,4,0.81,4012036,Poor,1
Services,24,6217054,309304,586350,307,3,0.37,994877,Poor,1
Services,17,2022199,327300,387530,815,1,0.9,1562244,Poor,1
Manufacturing,19,2999134,202447,1788667,832,1,0.1,4981129,Average,0
Trading,19,3330486,368586,1234801,448,2,0.12,3993935,Average,0
Retail,21,4280053,170644,2866112,787,1,0.76,4337432,Good,0
Manufacturing,12,1000033,400069,2756421,324,4,0.26,4649003,Good,1
Retail,9,5407742,24136,678758,724,3,0.15,4108189,Average,0
Services,1,7336278,81868,1782141,592,2,0.29,315050,Poor,1
Services,18,7160810,364407,138887,484,0,0.44,1015261,Poor,1
Manufacturing,21,4201403,314311,885544,730,0,0.68,2380201,Good,0
Manufacturing,4,434445,130957,2289164,616,3,0.6,3854818,Poor,1
Retail,10,4897855,35479,1944018,697,0,0.29,4776149,Average,0
Trading,7,7532701,139392,336629,623,4,0.5,3524686,Good,0
Retail,22,2145700,182448,2760739,845,1,0.84,2859146,Average,1
Manufacturing,23,2966981,155895,2664689,375,3,0.75,1536949,Average,1
Retail,1,5708009,276228,1990592,785,2,0.36,3625057,Poor,0
Manufacturing,17,7182727,221528,2541435,387,1,0.89,757624,Average,1
Retail,24,4120671,301729,2954191,531,0,0.67,3586203,Average,1
Manufacturing,2,6745293,254847,2387643,306,0,0.15,791006,Poor,1
Manufacturing,11,5208951,430488,1684461,849,2,0.13,2879414,Average,0
Manufacturing,9,4387138,308763,2404960,351,4,0.23,3766793,Poor,1
Trading,7,5401483,357213,2064601,695,2,0.68,1005716,Average,0
Retail,22,1171535,322039,1866418,520,3,0.25,2577465,Poor,1
Retail,17,2083611,285864,808271,727,2,0.51,286881,Poor,0
Retail,17,6769053,301411,2937569,442,0,0.17,1596254,Good,0
